vt_group_no,transaction_id,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,sale_price,Distributor_price,commission
173578278369328,173578278369328002R,49503,14165,358173,830,541,25,5,20
173591248335871,173591248335871002R,5960,84094,419195,517,541,34,34,100
173598338574087,173598338574087002R,51421,23722,303511,830,541,35,3.5,10
173673052329185,173673052329185001R,457,23621,429420,12,15,1499,299.8,20
173593054429541,173593054429541001R,457,13832,428400,12,15,30,7.5,25
173349901173234,173349901173234001R,44063,14093,429425,830,541,2199,439.8,20
173590614760443,173590614760443001R,47172,50545,303561,830,541,38,3.8,10
173659887614524,173659887614524002R,7718,52867,421039,830,541,27,3.24,12
173584345364645,173584345364645001R,44063,15569,428494,830,541,94,28.2,30
173600439472073,173600439472073003R,5957,13829,421819,665,674,105,21,20
173459631706184,173459631706184003R,2899,86245,433468,262,211,42,12.6,30
173633987098459,173633987098459003R,6458,13829,454863,830,541,95,23.75,25
173602040083734,173602040083734004R,722,14162,421043,10,17,13,1.56,12
173671585359590,173671585359590005R,457,13829,454863,12,15,95,71.25,75
173687917766620,173687917766620003R,818,13829,454863,28,61,95,71.25,75
173602183141731,173602183141731001R,722,22584,339943,10,17,96,28.8,30
173652591027075,173652591027075001R,457,40338,428262,12,15,126,37.8,30
173617090736248,173617090736248003R,6686,15566,428486,830,541,129,32.25,25
