vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,purchaseprice,merchantcommission,distributorcommission,hgscommission,salepriceshouldbe,museumfeeshouldbe,merchantfeeshouldbe,hotelfeeshouldbe,hgsfeeshouldbe,modifiedshouldbe,pricinglevel
173727987779105,173727987779105001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 09:44:38,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731971690379,173731971690379002R,7601,Park Plaza Westminster Bridge ,541,Evan Evans,52867,421037,1,2025-01-19 20:56:07,30,0,0,3,27,30,0,0,3.6,26.4,2025-01-20 05:36:41,catalogsetting
173731971690379,173731971690379001R,7601,Park Plaza Westminster Bridge ,541,Evan Evans,52867,421037,1,2025-01-19 20:56:07,30,0,0,3,27,30,0,0,3.6,26.4,2025-01-20 05:36:41,catalogsetting
173731971690379,173731971690379003R,7601,Park Plaza Westminster Bridge ,541,Evan Evans,52867,421037,1,2025-01-19 20:56:07,30,0,0,3,27,30,0,0,3.6,26.4,2025-01-20 05:36:41,catalogsetting
173732410345876,173732410345876003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,14162,421043,1,2025-01-19 22:04:49,13,0,0,0,13,13,13,0,0,0,2024-11-19 05:46:00,clcsetting
173731360381994,173731360381994001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13931,339576,1,2025-01-19 19:12:26,120,0,0,0,120,120,120,0,0,0,2025-01-13 11:16:28,clcsetting
173724621210619,173724621210619005R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15599,339928,1,2025-01-19 00:35:19,100,0,0,0,100,100,100,0,0,0,2025-01-15 10:16:22,clcsetting
173724621210619,173724621210619006R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15599,339928,1,2025-01-19 00:35:19,100,0,0,0,100,100,100,0,0,0,2025-01-15 10:16:22,clcsetting
173732326042973,173732326042973011R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15590,428508,1,2025-01-19 21:59:22,114,0,0,0,114,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326042973,173732326042973012R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15590,428508,1,2025-01-19 21:59:22,114,0,0,0,114,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326545542,173732326545542012R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15590,428508,1,2025-01-19 21:58:11,114,0,0,0,114,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326545542,173732326545542011R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15590,428508,1,2025-01-19 21:58:11,114,0,0,0,114,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729348405228,173729348405228001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,14153,450859,1,2025-01-19 13:32:53,33,0,0,0,33,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729756821951,173729756821951003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,14153,450859,1,2025-01-19 14:46:31,33,0,0,0,33,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729756821951,173729756821951002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,14153,450859,1,2025-01-19 14:46:31,33,0,0,0,33,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729756821951,173729756821951001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,14153,450859,1,2025-01-19 14:46:31,33,0,0,0,33,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
