pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,row_type,status
173322903135537,173322903135537,173322903135537152R,173322903135537152R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537155R,173322903135537155R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,3,0
173322903135537,173322903135537,173322903135537140R,173322903135537140R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537032R,173322903135537032R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,17,0
173322903135537,173322903135537,173322903135537179R,173322903135537179R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,1,0
173322903135537,173322903135537,173322903135537177R,173322903135537177R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,1,0
173322903135537,173322903135537,173322903135537131R,173322903135537131R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,3,0
173322903135537,173322903135537,173322903135537029R,173322903135537029R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537147R,173322903135537147R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,3,0
173322903135537,173322903135537,173322903135537154R,173322903135537154R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,2,0
173322903135537,173322903135537,173322903135537174R,173322903135537174R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,17,0
173322903135537,173322903135537,173322903135537147R,173322903135537147R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,17,0
173322903135537,173322903135537,173322903135537160R,173322903135537160R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,4,0
173322903135537,173322903135537,173322903135537130R,173322903135537130R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,3,0
