vt_group_no,transaction_id,order_confirm_date,distributorcommission,hotelfeeshouldbe,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,status
173204138489583,173204138489583002R,2025-01-25,0,111,5960,13829,421818,517,541,0
173594400967668,173594400967668001R,2025-01-19,0,111,5960,13829,421818,517,541,0
173644387147082,173644387147082011R,2025-01-12,0,111,5960,13829,421818,517,541,0
173575479294369,173575479294369001R,2025-01-17,0,111,5960,13829,421818,517,541,0
173036240763984,173036240763984001R,2025-01-04,0,111,5960,13829,421818,517,541,0
173556855551406,173556855551406025R,2025-01-07,0,111,5960,13829,421818,517,541,0
173228104709355,173228104709355013R,2025-01-06,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311013R,2025-01-06,0,111,5963,13829,421818,517,541,0
173495804603883,173495804603883002R,2025-01-06,0,111,5960,13829,421818,517,541,0
173644387147082,173644387147082020R,2025-01-12,0,111,5960,13829,421818,517,541,0
173646332234282,173646332234282002R,2025-01-26,0,111,5960,13829,421818,517,541,0
173057389721178,173057389721178001R,2025-01-03,0,111,5960,13829,421818,517,541,0
173429781429527,173429781429527001R,2025-01-25,0,111,5960,13829,421818,517,541,0
173429781429527,173429781429527008R,2025-02-01,0,111,5960,13829,421818,517,541,0
173626564880808,173626564880808025R,2025-01-13,0,111,5960,13829,421818,517,541,0
173702359632999,173702359632999002R,2025-01-17,0,111,5960,13829,421818,517,541,0
173695167735449,173695167735449002R,2025-01-27,0,111,5960,13829,421818,517,541,0
173305140860104,173305140860104001R,2025-01-14,0,111,5960,13829,421818,517,541,0
172977106391680,172977106391680034R,2025-01-03,0,111,5960,13829,421818,517,541,0
172950020195540,172950020195540003R,2025-01-03,0,111,5963,13829,421818,517,541,0
173666014378134,173666014378134001R,2025-01-17,0,111,5960,13829,421818,517,541,0
173699306751184,173699306751184002R,2025-01-27,0,111,5960,13829,421818,517,541,0
173583093587683,173583093587683008R,2025-01-19,0,111,5960,13829,421818,517,541,0
172940379826243,172940379826243002R,2025-01-02,0,111,5960,13829,421818,517,541,0
173590728495598,173590728495598002R,2025-01-07,0,111,5960,13829,421818,517,541,0
173616020114638,173616020114638002R,2025-01-19,0,111,5960,13829,421818,517,541,0
172762011950346,172762011950346002R,2025-01-01,0,111,5960,13829,421818,517,541,0
173542531097189,173542531097189001R,2025-01-13,0,111,5960,13829,421818,517,541,0
172950020195540,172950020195540013R,2025-01-03,0,111,5963,13829,421818,517,541,0
173464867513069,173464867513069001R,2025-01-11,0,111,5960,13829,421818,517,541,0
173699306751184,173699306751184001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173574343671941,173574343671941001R,2025-01-19,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561001R,2025-01-05,0,111,5963,13829,421818,517,541,0
173055034561551,173055034561551001R,2025-01-04,0,111,5960,13829,421818,517,541,0
173539417825632,173539417825632002R,2025-01-18,0,111,5960,13829,421818,517,541,0
173291130412716,173291130412716002R,2025-01-06,0,111,5960,13829,421818,517,541,0
173695353356908,173695353356908002R,2025-01-27,0,111,5960,13829,421818,517,541,0
172978968779669,172978968779669003R,2025-01-04,0,111,5960,13829,421818,517,541,0
173651632987205,173651632987205001R,2025-01-14,0,111,48832,13829,421818,517,541,0
172989208307863,172989208307863002R,2025-01-02,0,111,5960,13829,421818,517,541,0
173617555331055,173617555331055002R,2025-01-19,0,111,5960,13829,421818,517,541,0
173030641942544,173030641942544002R,2025-01-04,0,111,5960,13829,421818,517,541,0
173580142689327,173580142689327002R,2025-01-13,0,111,5960,13829,421818,517,541,0
173160178846992,173160178846992002R,2025-01-05,0,111,5963,13829,421818,517,541,0
173160178846992,173160178846992001R,2025-01-05,0,111,5963,13829,421818,517,541,0
172969333780561,172969333780561115R,2025-01-05,0,111,5963,13829,421818,517,541,0
173556158433699,173556158433699002R,2025-01-03,0,111,5960,13829,421818,517,541,0
172977106391680,172977106391680004R,2025-01-03,0,111,5963,13829,421818,517,541,0
172958707594171,172958707594171003R,2025-01-03,0,111,5960,13829,421818,517,541,0
172934334778485,172934334778485002R,2025-01-02,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561007R,2025-01-05,0,111,5963,13829,421818,517,541,0
172969333780561,172969333780561035R,2025-01-05,0,111,5963,13829,421818,517,541,0
173707531188858,173707531188858001R,2025-01-26,0,111,5960,13829,421818,517,541,0
172950020195540,172950020195540015R,2025-01-03,0,111,5963,13829,421818,517,541,0
173368070344718,173368070344718001R,2025-01-19,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311006R,2025-01-06,0,111,5963,13829,421818,517,541,0
173644387147082,173644387147082001R,2025-01-12,0,111,5960,13829,421818,517,541,0
173374524984083,173374524984083001R,2025-01-07,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561118R,2025-01-05,0,111,5963,13829,421818,517,541,0
173453058334888,173453058334888001R,2025-01-05,0,111,5960,13829,421818,517,541,0
172977106391680,172977106391680031R,2025-01-03,0,111,5960,13829,421818,517,541,0
173391002035512,173391002035512001R,2025-01-18,0,111,5963,13829,421818,517,541,0
172969333780561,172969333780561088R,2025-01-05,0,111,5963,13829,421818,517,541,0
173745126679980,173745126679980001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173389321163749,173389321163749002R,2025-01-25,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311011R,2025-01-06,0,111,5963,13829,421818,517,541,0
173791630917844,173791630917844002R,2025-01-28,0,111,5960,13829,421818,517,541,0
172885792119753,172885792119753002R,2025-01-02,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561082R,2025-01-05,0,111,5963,13829,421818,517,541,0
173641494630580,173641494630580002R,2025-01-26,0,111,5960,13829,421818,517,541,0
173634594825840,173634594825840007R,2025-01-13,0,111,5960,13829,421818,517,541,0
173429781429527,173429781429527014R,2025-01-25,0,111,5960,13829,421818,517,541,0
173031780524871,173031780524871001R,2025-01-04,0,111,5960,13829,421818,517,541,0
173151311685541,173151311685541001R,2025-01-07,0,111,8942,13829,421818,517,541,0
173523836251923,173523836251923002R,2025-01-19,0,111,5960,13829,421818,517,541,0
173685383564599,173685383564599001R,2025-01-16,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561100R,2025-01-05,0,111,5963,13829,421818,517,541,0
172977106391680,172977106391680001R,2025-01-03,0,111,5963,13829,421818,517,541,0
172989208307863,172989208307863001R,2025-01-02,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561028R,2025-01-05,0,111,5963,13829,421818,517,541,0
173745462346883,173745462346883001R,2025-01-28,0,111,5960,13829,421818,517,541,0
173420933225699,173420933225699001R,2025-01-25,0,111,5960,13829,421818,517,541,0
173686645355802,173686645355802001R,2025-01-26,0,111,5960,13829,421818,517,541,0
173389321163749,173389321163749016R,2025-01-19,0,111,5960,13829,421818,517,541,0
172958707594171,172958707594171002R,2025-01-03,0,111,5960,13829,421818,517,541,0
172977106391680,172977106391680003R,2025-01-03,0,111,5963,13829,421818,517,541,0
172915678865458,172915678865458001R,2025-01-02,0,111,5963,13829,421818,517,541,0
173757754562944,173757754562944002R,2025-01-27,0,111,5960,13829,421818,517,541,0
172993145975715,172993145975715014R,2025-01-04,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311022R,2025-01-06,0,111,5963,13829,421818,517,541,0
173150405381311,173150405381311008R,2025-01-06,0,111,5963,13829,421818,517,541,0
173626564880808,173626564880808026R,2025-01-13,0,111,5960,13829,421818,517,541,0
173772317987819,173772317987819002R,2025-01-28,0,111,5960,13829,421818,517,541,0
173559705685372,173559705685372001R,2025-01-17,0,111,5960,13829,421818,517,541,0
173539417825632,173539417825632001R,2025-01-18,0,111,5960,13829,421818,517,541,0
173366487105333,173366487105333001R,2025-01-07,0,111,5960,13829,421818,517,541,0
173661271935691,173661271935691001R,2025-01-17,0,111,5960,13829,421818,517,541,0
173805203093589,173805203093589001R,2025-01-29,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561034R,2025-01-05,0,111,5963,13829,421818,517,541,0
172969333780561,172969333780561076R,2025-01-05,0,111,5963,13829,421818,517,541,0
173602958087277,173602958087277002R,2025-01-07,0,111,5960,13829,421818,517,541,0
172965746739649,172965746739649003R,2025-01-03,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311012R,2025-01-06,0,111,5963,13829,421818,517,541,0
173264358853613,173264358853613001R,2025-01-03,0,111,5960,13829,421818,517,541,0
173374524984083,173374524984083002R,2025-01-07,0,111,5960,13829,421818,517,541,0
173389321163749,173389321163749034R,2025-01-25,0,111,5960,13829,421818,517,541,0
173695353356908,173695353356908001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173279435141652,173279435141652002R,2025-01-18,0,111,5960,13829,421818,517,541,0
173333695026582,173333695026582002R,2025-01-04,0,111,5960,13829,421818,517,541,0
172827551712365,172827551712365001R,2025-01-02,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561055R,2025-01-05,0,111,5963,13829,421818,517,541,0
173701760494984,173701760494984002R,2025-01-17,0,111,5960,13829,421818,517,541,0
